RowName,Frame,Timestamp,nose_X,nose_Y,nose_Z,left_shoulder_X,left_shoulder_Y,left_shoulder_Z,right_shoulder_X,right_shoulder_Y,right_shoulder_Z,left_elbow_X,left_elbow_Y,left_elbow_Z,right_elbow_X,right_elbow_Y,right_elbow_Z,left_wrist_X,left_wrist_Y,left_wrist_Z,right_wrist_X,right_wrist_Y,right_wrist_Z,left_hip_X,left_hip_Y,left_hip_Z,right_hip_X,right_hip_Y,right_hip_Z,left_knee_X,left_knee_Y,left_knee_Z,right_knee_X,right_knee_Y,right_knee_Z,left_ankle_X,left_ankle_Y,left_ankle_Z,right_ankle_X,right_ankle_Y,right_ankle_Z
39,39,1.3448275862068966,0,0,0,36.43,-33.02,49.51,-2.08,-30.93,21.2,44.23,-16.31,47.33,-10.21,-15.22,30.87,45.63,-2.0,81.29,-14.89,-2.58,88.94,27.59,0.79,11.22,4.2,1.66,-11.13,38.26,22.75,-10.86,1.37,23.62,-51.97,49.65,41.05,-81.73,-1.87,43.33,-112.7
40,40,1.3793103448275863,0,0,0,38.59,-32.62,49.98,0.17,-30.94,25.3,45.43,-16.13,46.25,-8.08,-15.43,33.19,46.87,-1.72,82.08,-13.31,-2.98,93.34,28.72,0.97,9.84,5.28,1.66,-9.76,38.45,23.29,-12.76,1.42,23.63,-40.75,48.79,41.06,-97.79,-2.33,43.25,-111.29
41,41,1.4137931034482758,0,0,0,40.8,-32.16,42.38,2.93,-30.94,23.65,46.95,-15.7,32.07,-5.57,-15.76,28.93,47.79,-1.27,59.9,-10.73,-3.22,83.23,29.86,1.17,8.56,6.35,1.66,-8.47,38.48,23.65,-11.08,1.54,23.63,-31.45,46.65,41.12,-87.46,-3.11,43.18,-95.41
42,42,1.4482758620689655,0,0,0,43.51,-31.47,44.34,6.01,-30.96,23.27,48.93,-14.89,40.18,-2.69,-15.93,32.08,48.62,-0.96,64.01,-8.32,-3.75,94.38,31.79,1.45,7.74,8.38,1.65,-7.66,38.49,24.05,-11.64,1.85,23.63,-29.61,45.48,41.28,-91.81,-3.65,43.18,-97.27
43,43,1.4827586206896552,0,0,0,45.87,-30.99,45.72,8.54,-31.02,22.69,50.63,-14.35,43.47,-0.03,-16.01,29.6,49.22,-0.57,73.04,-5.66,-3.96,90.83,33.88,1.72,8.45,10.39,1.66,-8.36,38.38,24.08,-14.56,2.44,23.61,-32.67,44.6,41.45,-97.87,-3.98,43.05,-99.16
44,44,1.5172413793103448,0,0,0,48.2,-30.71,46.02,10.26,-31.17,22.12,52.38,-13.89,44.3,2.22,-16.09,30.51,50.13,-0.48,75.87,-2.75,-3.93,90.44,35.98,1.88,8.22,12.49,1.66,-8.14,38.61,24.24,-17.94,3.62,23.46,-33.71,44.01,41.59,-100.19,-4.13,42.62,-100.04
45,45,1.5517241379310345,0,0,0,49.81,-30.76,42.14,12.03,-31.64,23.15,53.67,-13.67,40.74,3.93,-16.34,36.16,51.29,-0.38,78.7,0.61,-3.86,95.34,37.54,2.05,6.53,14.17,1.66,-6.45,39.3,24.33,-18.02,4.55,23.35,-27.75,43.4,41.68,-96.02,-4.01,42.34,-89.8
46,46,1.5862068965517242,0,0,0,51.4,-30.82,43.44,13.54,-32.06,30.6,55.14,-13.71,50.57,5.78,-16.3,49.58,52.49,-0.47,109.52,3.32,-3.81,119.99,38.79,2.15,5.37,14.99,1.66,-5.3,39.59,24.28,-30.97,5.3,23.16,-37.12,42.82,41.74,-123.61,-3.9,41.98,-118.63
47,47,1.6206896551724137,0,0,0,52.53,-30.87,43.35,14.2,-32.14,31.46,56.08,-13.54,49.96,6.72,-16.26,49.51,53.45,-0.45,101.3,4.74,-3.67,116.47,39.29,2.39,4.68,15.48,1.73,-4.61,39.57,24.29,-34.23,5.76,23.1,-38.74,42.24,41.75,-125.52,-3.63,41.83,-118.89
48,48,1.6551724137931034,0,0,0,53.64,-30.94,37.15,15.3,-32.15,42.74,56.74,-13.63,43.72,7.47,-16.25,69.34,53.97,-0.51,104.0,6.52,-3.66,142.19,39.74,2.34,-1.59,15.96,1.68,1.66,39.46,24.24,-43.42,6.67,22.94,-35.18,40.96,41.76,-132.19,-2.99,41.45,-114.34
49,49,1.6896551724137931,0,0,0,55.03,-30.98,34.8,16.41,-32.14,47.14,57.77,-13.7,44.06,9.16,-16.25,83.86,54.85,-0.57,110.04,7.96,-3.66,163.34,40.09,2.34,-4.46,16.39,1.64,4.52,39.42,24.14,-50.88,7.52,22.67,-31.72,40.13,41.76,-137.23,-1.81,40.93,-112.3
